,Manager,Position,Player,Team,Wildcard,Division,Conference,Super Bowl
0,2-10 Hahaha,qb1,Josh Allen,BUF,True,True,False,False
1,A G-Thang,qb1,Josh Allen,BUF,True,True,False,False
2,Abarrett35,qb1,Josh Allen,BUF,True,True,False,False
3,Alexander’s Raiders,qb1,Josh Allen,BUF,True,True,False,False
4,Ball Too Well (Allie’s Version),qb1,Lamar Jackson,BAL,True,True,False,False
5,Blake Rogers,qb1,Josh Allen,BUF,True,True,False,False
6,Born tua be wild ,qb1,Josh Allen,BUF,True,True,False,False
7,Danny,qb1,Josh Allen,BUF,True,True,False,False
8,Erin M | HearMeowt,qb1,Lamar Jackson,BAL,True,True,False,False
9,Ethan R,qb1,Josh Allen,BUF,True,True,False,False
10,F.O.G.| Joe Pino,qb1,Lamar Jackson,BAL,True,True,False,False
11,Fantasy Fumble Funnies,qb1,Josh Allen,BUF,True,True,False,False
12,Gage ,qb1,Josh Allen,BUF,True,True,False,False
13,Griffin Stanley,qb1,Josh Allen,BUF,True,True,False,False
14,Hawk Tua | Brock Michalek ,qb1,Josh Allen,BUF,True,True,False,False
15,Karrtoons,qb1,Josh Allen,BUF,True,True,False,False
16,Liebersquad,qb1,Lamar Jackson,BAL,True,True,False,False
17,Matt’s last chance at fantasy,qb1,Josh Allen,BUF,True,True,False,False
18,Maye Day,qb1,Lamar Jackson,BAL,True,True,False,False
19,McSRQ,qb1,Josh Allen,BUF,True,True,False,False
20,Miami Mike Goes Detroit,qb1,Josh Allen,BUF,True,True,False,False
21,Michaels motivated sea'men,qb1,Josh Allen,BUF,True,True,False,False
22,Murphys,qb1,Lamar Jackson,BAL,True,True,False,False
23,Mythical Hail Marys,qb1,Lamar Jackson,BAL,True,True,False,False
24,New Year |  Same Me | Wesley ,qb1,Lamar Jackson,BAL,True,True,False,False
25,Nick Dakuginow,qb1,Josh Allen,BUF,True,True,False,False
26,Pirates Life For Me ,qb1,Lamar Jackson,BAL,True,True,False,False
27,Sarasota Supreme Team ,qb1,Lamar Jackson,BAL,True,True,False,False
28,See deez TDs,qb1,Lamar Jackson,BAL,True,True,False,False
29,Shaun McElroy,qb1,Jalen Hurts,PHI,True,True,False,False
30,Shot in the Dark / JC,qb1,Josh Allen,BUF,True,True,False,False
31,Show Me Your TDs!/Richard Silva,qb1,Josh Allen,BUF,True,True,False,False
32,Silver Papa,qb1,Lamar Jackson,BAL,True,True,False,False
33,Stat-O-Matic | Chris K,qb1,Josh Allen,BUF,True,True,False,False
34,Tanja,qb1,Josh Allen,BUF,True,True,False,False
35,Turd Ferguson,qb1,Josh Allen,BUF,True,True,False,False
36,Tutt-Nation,qb1,Lamar Jackson,BAL,True,True,False,False
37,2-10 Hahaha,qb2,Baker Mayfield,TB,True,False,False,False
38,A G-Thang,qb2,Patrick Mahomes,KC,False,True,False,False
39,Abarrett35,qb2,Jared Goff,DET,False,True,False,False
