,Manager,Player,Team,Total Wildcard,Total Division,Total Conference,Total Superbowl,Total Points
0,2-10 Hahaha,Josh Allen,BUF,30.480000000000004,0.0,0.0,0.0,30.480000000000004
1,A G-Thang,Josh Allen,BUF,30.480000000000004,0.0,0.0,0.0,30.480000000000004
2,Abarrett35,Josh Allen,BUF,30.480000000000004,0.0,0.0,0.0,30.480000000000004
3,Alexander’s Raiders,Josh Allen,BUF,30.480000000000004,0.0,0.0,0.0,30.480000000000004
4,Ball Too Well (Allie’s Version),Lamar Jackson,BAL,26.1,0.0,0.0,0.0,26.1
5,Blake Rogers,Josh Allen,BUF,30.480000000000004,0.0,0.0,0.0,30.480000000000004
6,Born tua be wild ,Josh Allen,BUF,30.480000000000004,0.0,0.0,0.0,30.480000000000004
7,Danny,Josh Allen,BUF,30.480000000000004,0.0,0.0,0.0,30.480000000000004
8,Erin M | HearMeowt,Lamar Jackson,BAL,26.1,0.0,0.0,0.0,26.1
9,Ethan R,Josh Allen,BUF,30.480000000000004,0.0,0.0,0.0,30.480000000000004
10,F.O.G.| Joe Pino,Lamar Jackson,BAL,26.1,0.0,0.0,0.0,26.1
11,Fantasy Fumble Funnies,Josh Allen,BUF,30.480000000000004,0.0,0.0,0.0,30.480000000000004
12,Gage ,Josh Allen,BUF,30.480000000000004,0.0,0.0,0.0,30.480000000000004
13,Griffin Stanley,Josh Allen,BUF,30.480000000000004,0.0,0.0,0.0,30.480000000000004
14,Hawk Tua | Brock Michalek ,Josh Allen,BUF,30.480000000000004,0.0,0.0,0.0,30.480000000000004
15,Karrtoons,Josh Allen,BUF,30.480000000000004,0.0,0.0,0.0,30.480000000000004
16,Liebersquad,Lamar Jackson,BAL,26.1,0.0,0.0,0.0,26.1
17,Matt’s last chance at fantasy,Josh Allen,BUF,30.480000000000004,0.0,0.0,0.0,30.480000000000004
18,Maye Day,Lamar Jackson,BAL,26.1,0.0,0.0,0.0,26.1
19,McSRQ,Josh Allen,BUF,30.480000000000004,0.0,0.0,0.0,30.480000000000004
20,Miami Mike Goes Detroit,Josh Allen,BUF,30.480000000000004,0.0,0.0,0.0,30.480000000000004
21,Michaels motivated sea'men,Josh Allen,BUF,30.480000000000004,0.0,0.0,0.0,30.480000000000004
22,Murphys,Lamar Jackson,BAL,26.1,0.0,0.0,0.0,26.1
23,Mythical Hail Marys,Lamar Jackson,BAL,26.1,0.0,0.0,0.0,26.1
24,New Year |  Same Me | Wesley ,Lamar Jackson,BAL,26.1,0.0,0.0,0.0,26.1
25,Nick Dakuginow,Josh Allen,BUF,30.480000000000004,0.0,0.0,0.0,30.480000000000004
26,Pirates Life For Me ,Lamar Jackson,BAL,26.1,0.0,0.0,0.0,26.1
27,Sarasota Supreme Team ,Lamar Jackson,BAL,26.1,0.0,0.0,0.0,26.1
28,See deez TDs,Lamar Jackson,BAL,26.1,0.0,0.0,0.0,26.1
29,Shaun McElroy,Jalen Hurts,PHI,18.840000000000003,0.0,0.0,0.0,18.840000000000003
30,Shot in the Dark / JC,Josh Allen,BUF,30.480000000000004,0.0,0.0,0.0,30.480000000000004
31,Show Me Your TDs!/Richard Silva,Josh Allen,BUF,30.480000000000004,0.0,0.0,0.0,30.480000000000004
32,Silver Papa,Lamar Jackson,BAL,26.1,0.0,0.0,0.0,26.1
33,Stat-O-Matic | Chris K,Josh Allen,BUF,30.480000000000004,0.0,0.0,0.0,30.480000000000004
34,Tanja,Josh Allen,BUF,30.480000000000004,0.0,0.0,0.0,30.480000000000004
35,Turd Ferguson,Josh Allen,BUF,30.480000000000004,0.0,0.0,0.0,30.480000000000004
36,Tutt-Nation,Lamar Jackson,BAL,26.1,0.0,0.0,0.0,26.1
37,2-10 Hahaha,Baker Mayfield,TB,18.7,0.0,0.0,0.0,18.7
38,A G-Thang,Patrick Mahomes,KC,0.0,9.48,0.0,0.0,9.48
39,Abarrett35,Jared Goff,DET,0.0,11.219999999999999,0.0,0.0,11.219999999999999
40,Alexander’s Raiders,Baker Mayfield,TB,18.7,0.0,0.0,0.0,18.7
